SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P04,S43,23344384491,1,촉촉한듯합니다,촉촉하고 진정이 잘 되는 것 같아요,잘쓰고 있어요,두툼한 패드 최고에요,두툼하고 토너도 넉넉히 머금고 있어서 얼굴 다 닦아내고 목까지 닦아도 촉촉합니당 첨에 한장 꺼냈을 때 여러장이 붙어있는 줄 알았을 정도로 두꺼워요 반 갈라서 쓰면 찹토도 가능하니 최고예용 앞으로 이걸로 정착할 생각입니다,,,,,
N,P10,S23,23344384491,0,촉촉,있어요,자극,당근,트러블,10.28,6.91,4.27,4.06,3.64
N,P10,S23,23344384491,1,패드가 두껍고 에센스가 많아서 한번 사용할때 반으로 갈라서 사용하고 있습니다,볼따구에 올려놓으면 시원해져서 쿨링감도 좋고 넘 조아요 없으면 안돼요,피부를 촉촉하게 해주는 점에서는 좋은데 저랑 안 맞는지 트러블이 생겼어요,젤좋아요,붙인 자리는 확실히 보습이 되는데 스킨만 바르고 양볼에 붙이고 아무것도 올려지지 않은 다른 부위는 건조해지는데그부분만 크림 바르는 것도 애매하네요,,,,,
N,P06,S28,5701086779,0,진저,발색,색상,예뻐요,데일리로,15.26,10.1,8.68,6.83,6.21
N,P06,S28,5701086779,1,오래 품절이었던 것 같은데 구해서 좋네요,사진1 캐시미어 제품샷사진2 캐시미어 발색 한번 두번 세번 비교샷이렇게 물량이 들어올 줄 알았다면스틱섀도 캐시미어는 안살껄 그랬다는 생각이 드네요,발색이 좋긴하나 수정하기가 조금 힘듬이 있네요,결국은 프레스코만한 게 없어요,손재주 없을수록 좋은 거 써야된다는 말이 있는데 너무 동감합니다,,,,,
N,P05,S05,15622974484,0,색상,색이,예뻐요,저렴하게,컬러,13.57,10.72,7.48,6.74,6.25
N,P05,S05,15622974484,1,발색이 이쁘네요,너무 예뻐요 정말 사랑해요,재구매입니다,생각보다 넘 여리해서 잘 바르지는 않지만 색은 이뻐요,저번에 구매후 재구매입니다,,,,,
N,P07,S01,25991978522,0,커버,발림성,마스크에,부드럽게,있어요,13.06,10.98,7.31,5.81,4.83
N,P07,S01,25991978522,1,가격도 비싸 특별히 좋을 줄 알았는데 평범한 것 같아요,처음 쓰는 제품입니다,잘 발리고 순해요,화사합니다,전에 관리실에서 사서 썼는데 다시 쓰게되어 좋아요,,,,,
N,P07,S01,81054393345,0,만족합니다,자연스럽게,촉촉하고,좋습니다,감사합니다,2.98,2.7,2.38,2.02,1.68
N,P07,S01,81054393345,1,빠른배송감사합니다,너무만족해해요,가겨이 조금 있어서 아껴쓰고 있습니다,와이프가 아주 좋아했습니다,최고입니다,,,,,
N,P07,S01,80662250879,0,커버,슈라멕,만족,재구매,좋습니다,4.71,4.38,4.22,4.11,3.99
