SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P07,S01,28160221523,1,괜찮습니다,색감은  피부톤과  자연스러워  이것만  거의  십년정도  쓰고  있어요,매번쓰고있습니다,재구매입니다럭키박스에 너무 좋은게 다 있네요,배송 늦어서 좀 그랬는데  럭키박스에 셀본 비비 정품 하나 더 들어있고 선크림 정품에 미스트까지  미친 구성 배송 언제되냐고 물어본게 죄송할정도네여  복받으실거에요,,,,,
N,P07,S01,22848336428,0,홍조,붉은기,자연스럽게,커버,생각보다,6.5,5.34,5.19,4.09,3.54
N,P07,S01,22848336428,1,트러블올라올때 바르려고 구매한거라 효과는 잘 모르겠고 그냥 자연스러워요,진짜 어무 좋아요부드럽게 발라지면서 붉은기를 잡아줍니다,유튜버 다영님 보고 산 제품인데 화장은 안하지만 칙칙한 부분을 자연스럽게 커버하고 싶은 분들께 아주 좋은 제품 같아요,용량도 생각보다 많고 우선 발림성이 넘 좋아서 잘 펴발라지고 부드러워요,그 뜻은 붉은기가 잘 커버가 안된다는 의미도 얼른 붉은기가 사라져서 그냥 이거 하나로도 만족할 수 있었으면 좋겠어요,,,,,
N,P07,S01,22345882670,0,애터미,비비,만족합니다,커버,가격대비,4.76,3.78,2.73,2.46,2.12
N,P07,S01,22345882670,1,엄마가 매번 쓰는 거에요,커버도 잘 돼요,괜찬습니다,묽은 제형이어서 화장 뜰까봐 걱정했는데 그 반대네요,좋아요,,,,,
N,P07,S01,8895014293,0,비비,커버,자연스럽게,발림성,트러블,4.21,4.03,2.54,2.45,2.43
N,P07,S01,8895014293,1,확실히 병원에 입고되는 제품들이 순하고 좋아요,일단 트러블 없어요,만족합니다,광이 나면서 피부에 뜨지도 않고 자연스럽게 밀착됩니다,민감성 피부인데  한번 써봤어요,,,,,
N,P05,S05,8332632934,0,들어요,저렴,가격도,가성비,감사합니다,2.03,1.84,1.73,1.27,1.2
N,P05,S05,8332632934,1,좋아요,일부러 후기에 밝은 핑크라고 하길래 샀는데 어두운 와인색 같아요,상품도좋고 저렴합니다,가성비 좋아요,이런색이 섹시 한가,,,,,
N,P09,S17,18751415945,0,편하고,발림성,좋습니다,부드럽게,끈적,8.58,8.41,6.41,5.95,5.58
N,P09,S17,18751415945,1,얼굴에 점빼고 수시로 발라주기 위해 구입해서 쓰고 있는데사용감이 좋아요,손을 안쓴다는게 좋구요,저렴하게 샀어요,믿고 습니다,에고 잘못주문햇네요,,,,,
N,P08,S47,9189323907,0,향이,포장도,향수,향은,향도,27.64,10.55,10.48,9.5,8.48
